regionId,regionName,areaId,areaName,ownerId,ownerName
R1,"Region 1 — Oak Hollow",R1:A1,"Oak Hollow",,""
R1,"Region 1 — Oak Hollow",R1:A2,"Raven Brook",,""
R1,"Region 1 — Oak Hollow",R1:A3,"Oak Field",,""
R1,"Region 1 — Oak Hollow",R1:A4,"White Harbor",,""
R1,"Region 1 — Oak Hollow",R1:A5,"Crystal Gate",,""
R1,"Region 1 — Oak Hollow",R1:A6,"Blue Brook",,""
R1,"Region 1 — Oak Hollow",R1:A7,"Oak Wood Port",,""
R1,"Region 1 — Oak Hollow",R1:A8,"Golden Hold",,""
R1,"Region 1 — Oak Hollow",R1:A9,"Storm Cross",,""
R1,"Region 1 — Oak Hollow",R1:A10,"Oak Vale",,""
R1,"Region 1 — Oak Hollow",R1:A11,"Wind Vale Market",,""
R1,"Region 1 — Oak Hollow",R1:A12,"Stone Heath",,""
R1,"Region 1 — Oak Hollow",R1:A13,"Birch Field Port",,""
R1,"Region 1 — Oak Hollow",R1:A14,"White Moor Borough",,""
R1,"Region 1 — Oak Hollow",R1:A15,"Green Pass",,""
R2,"Region 2 — Storm Glen",R2:A1,"Storm Glen",,""
R2,"Region 2 — Storm Glen",R2:A2,"Green Glen Town",,""
R2,"Region 2 — Storm Glen",R2:A3,"Storm Glen",,""
R2,"Region 2 — Storm Glen",R2:A4,"Star Field",,""
R2,"Region 2 — Storm Glen",R2:A5,"Crystal Forge Market",,""
R2,"Region 2 — Storm Glen",R2:A6,"Oak Glen Port",,""
R2,"Region 2 — Storm Glen",R2:A7,"Star Moor",,""
R2,"Region 2 — Storm Glen",R2:A8,"Birch Heights",,""
R2,"Region 2 — Storm Glen",R2:A9,"Green Harbor",,""
R2,"Region 2 — Storm Glen",R2:A10,"Shadow Watch",,""
R2,"Region 2 — Storm Glen",R2:A11,"Storm Gate Borough",,""
R2,"Region 2 — Storm Glen",R2:A12,"Crystal Ford",,""
R2,"Region 2 — Storm Glen",R2:A13,"Shadow Cross",,""
R3,"Region 3 — White Harbor",R3:A1,"White Harbor",,""
R3,"Region 3 — White Harbor",R3:A2,"Moon Ford Town",,""
R3,"Region 3 — White Harbor",R3:A3,"Blue Hold",,""
R3,"Region 3 — White Harbor",R3:A4,"Raven Gate Rest",,""
R3,"Region 3 — White Harbor",R3:A5,"Crystal Glen Hold",,""
